HotspotID,LabName,Addresses,City,Latitude,Longitude
3,"Regional Medical Research Centre (ICMR), Port Blair ","Post Bag 13, Dollygunj, Port Blair, Andaman and Nicobar Islands 744103", Port Blair ,11.66667,92.75
4,"Sri Venkateswara Institute of Medical Sciences, Tirupati","Sri Venkateswara Institute of Medical Sciences, Alipiri Road, Tirupati-517501 Andhra Pradesh, India", Tirupati,17.83333,79.08333
5,"Sidhartha Medical College, Vijayawada","Siddhartha Medical College, Ring Road, Gunadala, Vijayawada-520 008 Andhra Pradesh, India", Vijayawada,15.83333,79.75
6,"Government Medical College, Anantapur","Government Medical College, Anantapur, Rahamat Nagar, Anantapur, Andhra Pradesh 515001", Anantapur,14.6794,77.5988
8,"Rangaraya Medical College, Kakinada","Rangaraya Medical College, Pithampuram Road, Kakinada, Andhra Pradesh 533001", Kakinada,16.9604,82.2381
11,"ICMR-Regional Medical Research Centre, NE Region, Dibrugarh","ICMR-Regional Medical Research Centre, Dibrugarh Bokul, Lahowal, Dibrugarh, Assam 786010", Dibrugarh,27.47989,94.90837
12,"Gauhati Medical College, Guwahati ","Guwahati Narakasur Hilltop, Bhangagarh, Guwahati, Assam 781032", Guwahati ,26.4709,89.8994
13,"Silchar Medical College, Silchar","Silchar Medical College, Ghungoor, Silchar 788014, Assam, India ", Silchar,24.82733,92.79787
14,"Jorhat Medical College, Jorhat","Jorhat Medical College, Kushal Konwar Path, Barbheta, Jorhat, Assam 785001", Jorhat,26.7575,94.2031
16,"Fakhruddin Medical College, Barpeta","Barpeta-Hospital-Jania Rd, Joti Gaon, Assam 781301", Barpeta,26.3229,91.0063
17,"Patna Medical College, Patna","Patna Medical College, Ashok Rajpath, Patna University Campus, Patna, Bihar 80001", Patna,25.60222,85.11936
18,"Darbhanga Medical College, Darbhanga","Darbhanga Medical College, DMCH Rd, Allalpatti, Laheriasarai, Darbhanga, Bihar 846003", Darbhanga,28.5583,74.2372
20,"ICMR-National Institute of Cholera & Enteric Diseases (NICED), Kolkata","P-33, C.I.T. Road, Scheme XM, Beleghata, Kolkata 700 010, India", Kolkata,,
21,"ICMR-Rajendra  Memorial  Research  Institute  of  Medical  Sciences, Patna","Sadikpur, Patna, Bihar 800007", Patna,23.8095,83.7987
22,"Institute of Post Graduate Medical Education and Research (IPGMER), Kolkata","244, Acharya Jagadish Chandra Bose Rd, Bhowanipore, Kolkata, West Bengal 700020", Kolkata,22.56263,88.36304
24,"Post Graduate Institute  of Medical Education  and Research (PGIMER), Chandigarh","Post Graduate Institute of Medical Education & Research, Chandigarh, Madhya Marg, Sector 12, Chandigarh, 160012", Chandigarh,,
25,"Midnapore Medical College, Midnapore","Vidyasagar Road , Paschim Medinipur, Midnapore, West Bengal, 721 101", Midnapore,22.42114,87.32257
26,"North Bengal Medical College, Siliguri","North Bengal Medical College, Sushruta Nagar, Siliguri, West Bengal 734012", Siliguri,26.7111,88.3462
28,"Government Medical College and Hospital, Chandigarh","Chandi Path, Sector 32B, 32B, Sector 32, Chandigarh, 160047", Chandigarh,31.2453,76.6554
30,"Late Baliram Kashyap Memorial Government Medical College, Jagdalpur","Dimrapal, Jagdalpur, Chhattisgarh 494001", Jagdalpur,20.173,80.1206
31,"All India Institute of Medical Science (AIIMS), Raipur","All India Institute of Medical Science (AIIMS), Great Eastern Rd, AIIMS Campus, Tatibandh, Raipur, Chhattisgarh 492099", Raipur,,
32,"All India Institute of Medical Sciences (AIIMS), New Delhi","All India Institute of Medical Sciences (AIIMS), Sri Aurobindo Marg, Ansari Nagar East, New Delhi, Delhi 110029", New Delhi,27.42397,77.09922
33,"Government Medical College, Haldwani","Rampur Rd, Rampur, Haldwani, Uttarakhand 263129", Haldwani,29.22254,79.5286
34,"All India Institute of Medical Sciences (AIIMS), Rishikesh","All India Institute of Medical Sciences (AIIMS), Virbhadra Road Shivaji Nagar, near Barrage, Sturida Colony, Rishikesh, Uttarakhand 249203", Rishikesh,,
35,"King George's Medical University, Lucknow","Shah Mina Rd, Chowk, Lucknow, Uttar Pradesh 226003", Lucknow,26.8662778,80.9188984
36,"Jawaharlal Nehru Medical College, Aligarh","Medical Rd, AMU Campus, Aligarh, Uttar Pradesh 202002", Aligarh,27.2339,79.2728
37,"Lady Hardinge Medical College, New Delhi","Lady Hardinge Medical College, Connaught Place, New Delhi, Delhi 110001", New Delhi,28.6328,77.2198
38,"Uttar Pradesh University of Medical Sciences, Saifai","Off, Kurawali - Mainpuri - Etawah Rd, Saifai, Uttar Pradesh 206130", Saifai,26.9344,79.1593
39,"Institute of Medical Sciences, BHU, Varanasi","Aurobindo Colony, Banaras Hindu University Campus, Varanasi, Uttar Pradesh 221005", Varanasi,24.959,83.6061
40,"BJ Medical College, Ahmedabad ","BJ Medical College, Asarwa,, Civil Hospital Campus, Ahmedabad, Gujarat 380016", Ahmedabad ,9.9173,78.1196
41,"M.P. Shah Govt Medical College, Jamnagar","Pandit Nehru Marg, Indradeep Society, Jamnagar, Gujarat 361008", Jamnagar,23.3915,73.5082
42,"Government Medical College, Vadodara","Vinoba Bhave Rd, Anandpura, Vadodara, Gujarat 390001", Vadodara,22.29941,73.20812
43,"Government Medical College, Surat","Opp Income Tax Department Office, Majura Gate, Surat, Gujarat 395001", Surat,24.0735,74.5841
45,"Government Medical College, Rajkot","Pandit Dindayal Upadhyay Medical College, Sadar Civil Hospital Campus, Rajkot, Gujarat 360001", Rajkot,22.29161,70.79322
46,"Government Medical College, Bhavnagar","Near State Road Transport Corporation Bus Stand, Bhavnagar, Gujarat 364001", Bhavnagar,,
47,"Pandit Bhagwat Dayal Sharma Post Graduate  Institute of Medical Sciences, Rohtak","Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences, SH 16A, Dev Colony, Rohtak, Haryana 124514", Rohtak,,
48,"BPS Government Medical College for Women, Sonipat","BPS Government Medical College for Women, Ganaur - Gohana Rd, Khanpur Kalan, Haryana 131305", Sonipat,,
49,"Indira Gandhi Medical College, Shimla","Ridge Sanjauli Rd, Lakkar Bazar, Shimla, Himachal Pradesh 171001", Shimla,32.4999,74.9071
50,"Dr. Rajendra Prasad  Government Medical College, Kangra","Tanda Hospital Rd, Kangra, Himachal Pradesh 176001", Kangra,29.273,77.1457
51,"Sher - i -Kashmir Institute of Medical Sciences, Srinagar","SKIMS Main Rd, Soura, Srinagar, 190011", Srinagar,34.1417,74.7972
52,"Government Medical College, Jammu","Maheshpura, Chowk, Bakshi Nagar, Jammu Cantonment, Jammu and Kashmir 180001", Jammu,32.7357,74.8691
53,"Government Medical College, Srinagar","Jammu and Kashmir, Bemina, Srinagar, 190010", Srinagar,34.1417,74.7972
54,"Rajendra Institute of Medical Sciences, Ranchi","Rims Cir, Indraprasth Colony, Bariatu, Ranchi, Jharkhand 834009", Ranchi,24.213,87.3066
55,"MGM Medical College, Jamshedpur ","Dimna Rd, Hill View Colony, Mango, Jamshedpur, Jharkhand 831020", Jamshedpur ,23.2131,81.2026
56,"Bangalore Medical College & Research Institute, Bangaluru","Bangalore Medical College & Research Institute, Krishna Rajendra Rd, Bengaluru, Karnataka 560002", Bangaluru,12.9586104,77.574717
57,"Mysore Medical College and Research Institute, Mysore","Irwin Road, Next to Railway Staion, Mysuru, Karnataka 570001", Mysore,12.2979,76.6393
59,"Hassan Institute of Medical Sciences, Hassan","Shri panchamukhi medicals and clinic, opp. govt high school, Hassan, Karnataka 573201", Hassan,13.00715,76.0962
