Latitude,Longitude,State,Active,Confirm,Death,Recovered
19.531932,76.0554568,Maharashtra,36012,54758,1792,16954
10.9094334,78.3665347,Tamil Nadu,8258,17728,128,9342
22.4154082,72.031497,Gujarat,6775,14829,915,7139
28.6517178,77.2219388,Delhi,7223,14465,288,6954
26.8105777,73.7684549,Rajasthan,3090,7536,170,4276
23.9699282,79.3948695,Madhya Pradesh,3030,7024,305,3689
27.1303344,80.859666,Uttar Pradesh,2723,6724,177,3824
22.9964948,87.6855882,West Bengal,2240,4009,283,1486
15.9240905,80.1863809,Andhra Pradesh,909,2983,57,2017
48.8502083,-54.014322,State Unassigned,2970,2970,0,0
25.6440845,85.906508,Bihar,2154,2968,14,800
14.5203896,75.7223521,Karnataka,1489,2283,44,748
30.9293211,75.5004841,Punjab,148,2106,40,1918
17.8495919,79.1151663,Telangana,650,1991,57,1284
33.5574473,75.06152,Jammu and Kashmir,902,1759,24,833
20.5431241,84.6897321,Odisha,777,1517,7,733
29.0,76.0,Haryana,465,1305,16,824
10.3528744,76.5120396,Kerala,416,964,6,542
26.4073841,93.2551303,Assam,597,667,4,63
23.4559809,85.2557301,Jharkhand,264,416,4,148
30.0919936,79.3217666,Uttarakhand,329,400,4,64
21.6637359,81.8406351,Chhattisgarh,281,360,0,79
30.7194022,76.7646552,Chandigarh,87,278,4,187
31.8167602,77.3493205,Himachal Pradesh,177,247,4,63
23.7750823,91.7025091,Tripura,44,209,0,165
15.3004543,74.0855134,Goa,39,67,0,28
33.9456407,77.6568576,Ladakh,10,53,0,43
11.9340568,79.8306447,Puducherry,32,49,0,17
24.7208818,93.9229386,Manipur,35,39,0,4
10.2188344,92.5771329,Andaman and Nicobar Islands,0,33,0,33
25.5379432,91.2999102,Meghalaya,2,15,1,12
26.1630556,94.5884911,Nagaland,4,4,0,0
20.4,72.87,Dadra and Nagar Haveli and Daman and Diu,1,2,0,1
27.6891712,96.4597226,Arunachal Pradesh,1,2,0,1
23.2146169,92.8687612,Mizoram,0,1,0,1
27.601029,88.4541364,Sikkim,1,1,0,0
